calories,protein,fat,carbs,bmi,goal,recommendation
1999,39,87,127,19.7,maintenance,unhealthy
1950,149,16,91,21.0,weight_loss,unhealthy
1708,103,40,272,32.8,maintenance,unhealthy
909,56,14,86,29.1,weight_loss,balanced
1423,144,20,220,26.0,maintenance,unhealthy
1312,87,96,131,20.8,weight_loss,unhealthy
1491,52,23,99,23.1,weight_loss,unhealthy
688,26,10,267,27.3,muscle_gain,healthy
1761,127,8,170,19.8,muscle_gain,excellent
246,131,34,185,25.7,weight_loss,balanced
977,56,99,98,24.4,muscle_gain,excellent
1239,83,50,136,25.6,maintenance,unhealthy
910,133,31,295,18.9,weight_loss,balanced
600,70,49,269,18.9,weight_loss,unhealthy
2017,68,89,253,34.4,weight_loss,unhealthy
449,12,41,120,34.6,muscle_gain,unbalanced
590,29,13,33,24.7,muscle_gain,healthy
534,98,65,59,31.2,maintenance,balanced
828,19,39,46,28.8,muscle_gain,unbalanced
336,126,51,190,19.1,muscle_gain,healthy
1721,79,25,262,22.3,maintenance,unhealthy
1026,108,21,34,22.6,weight_loss,balanced
926,42,59,134,27.7,weight_loss,unhealthy
1700,172,92,40,27.4,maintenance,unhealthy
1189,119,99,246,33.6,muscle_gain,excellent
1134,43,10,236,31.2,maintenance,unhealthy
601,112,39,47,32.4,maintenance,balanced
1666,21,54,67,33.0,weight_loss,unhealthy
814,139,41,245,31.4,muscle_gain,excellent
1496,122,17,190,23.0,weight_loss,unhealthy
1382,43,29,123,20.9,weight_loss,unhealthy
2435,39,5,141,27.3,maintenance,unhealthy
1321,55,53,189,29.4,weight_loss,unhealthy
330,51,39,87,24.0,weight_loss,balanced
1394,40,87,229,32.3,weight_loss,unhealthy
382,68,57,151,34.3,muscle_gain,healthy
563,99,56,52,27.2,muscle_gain,excellent
238,109,58,127,25.2,weight_loss,unhealthy
1572,17,80,68,32.2,maintenance,unhealthy
1120,150,51,70,17.4,maintenance,unhealthy
215,153,47,50,19.3,weight_loss,unhealthy
692,116,24,283,32.2,muscle_gain,excellent
1649,69,37,197,30.2,maintenance,unhealthy
1331,12,97,196,24.5,maintenance,unhealthy
510,52,20,237,33.0,muscle_gain,excellent
938,89,82,173,23.3,muscle_gain,excellent
745,47,11,295,28.4,maintenance,balanced
450,89,74,111,28.4,weight_loss,unhealthy
958,159,25,276,20.3,maintenance,balanced
2004,23,40,133,22.1,muscle_gain,healthy
1497,27,90,162,33.5,muscle_gain,healthy
1831,119,58,188,20.3,muscle_gain,excellent
2114,54,23,75,20.1,muscle_gain,excellent
1013,47,29,108,25.6,weight_loss,balanced
228,103,71,33,18.7,maintenance,healthy
1157,108,57,258,33.1,muscle_gain,excellent
2232,120,79,174,18.8,muscle_gain,excellent
676,55,52,103,28.1,muscle_gain,excellent
517,110,46,133,23.1,maintenance,healthy
444,116,51,165,31.5,muscle_gain,excellent
947,173,95,258,27.6,maintenance,balanced
896,76,46,280,24.0,weight_loss,unhealthy
471,143,6,67,34.7,muscle_gain,excellent
1971,84,10,204,18.2,weight_loss,unhealthy
1462,155,50,210,27.4,maintenance,unhealthy
465,53,70,81,34.8,weight_loss,unhealthy
1120,170,85,256,29.4,muscle_gain,excellent
539,51,44,107,30.3,weight_loss,unhealthy
588,76,62,90,17.6,weight_loss,unhealthy
2250,11,82,74,17.4,weight_loss,unhealthy
1365,70,78,14,17.6,weight_loss,unhealthy
575,81,37,293,34.9,weight_loss,balanced
2233,66,66,90,34.6,maintenance,unhealthy
345,161,16,96,23.0,maintenance,healthy
2181,42,53,290,22.2,muscle_gain,excellent
492,129,92,206,19.6,maintenance,healthy
631,88,82,261,22.9,maintenance,balanced
904,165,9,92,23.7,muscle_gain,excellent
2198,33,55,36,30.5,maintenance,unhealthy
598,118,73,191,32.6,muscle_gain,excellent
1163,83,36,144,30.4,muscle_gain,excellent
2434,27,53,99,28.6,maintenance,unhealthy
2241,110,64,215,30.8,weight_loss,unhealthy
2028,135,50,36,30.3,muscle_gain,excellent
2308,105,72,68,25.6,weight_loss,unhealthy
1138,177,98,81,23.0,muscle_gain,excellent
909,12,45,236,22.1,maintenance,balanced
1006,90,85,100,29.2,weight_loss,unhealthy
1663,121,71,77,34.3,muscle_gain,excellent
1525,33,17,269,27.5,maintenance,unhealthy
210,6,22,155,33.4,weight_loss,balanced
1285,117,91,72,17.3,maintenance,unhealthy
2068,69,55,189,31.3,maintenance,unhealthy
2473,112,40,120,32.4,weight_loss,unhealthy
971,24,85,200,28.4,muscle_gain,healthy
1794,41,38,255,33.8,muscle_gain,excellent
1807,76,16,287,27.6,maintenance,unhealthy
1533,31,9,132,21.3,muscle_gain,excellent
1084,179,52,66,20.9,weight_loss,unhealthy
1589,127,95,169,27.0,weight_loss,unhealthy
425,138,44,136,33.3,maintenance,balanced
1024,49,17,234,18.3,maintenance,unhealthy
2465,176,30,104,27.9,weight_loss,unhealthy
1136,87,18,15,30.9,weight_loss,unhealthy
2111,150,15,274,19.1,maintenance,unhealthy
1996,124,42,243,19.1,maintenance,unhealthy
253,69,84,297,23.6,weight_loss,unhealthy
926,29,61,25,21.9,maintenance,balanced
1744,31,26,149,20.6,muscle_gain,excellent
1243,139,20,204,20.6,weight_loss,unhealthy
2113,176,81,195,19.4,weight_loss,unhealthy
1976,110,80,134,28.0,maintenance,unhealthy
1796,161,86,26,29.4,maintenance,unhealthy
2114,48,33,35,29.7,weight_loss,unhealthy
1049,111,86,222,26.6,maintenance,unhealthy
2309,40,6,10,34.2,muscle_gain,excellent
2463,151,58,274,32.8,maintenance,unhealthy
202,10,6,47,34.2,weight_loss,excellent
359,157,7,242,24.0,maintenance,healthy
980,163,97,269,32.8,weight_loss,unhealthy
1092,13,60,270,30.7,muscle_gain,unbalanced
2230,169,76,247,23.1,weight_loss,unhealthy
779,159,15,115,18.9,muscle_gain,excellent
2133,17,80,256,29.3,muscle_gain,unbalanced
1580,45,36,47,19.5,muscle_gain,excellent
1490,132,8,55,22.3,muscle_gain,excellent
1840,70,13,219,26.0,muscle_gain,excellent
1151,89,92,102,29.2,maintenance,unhealthy
1187,28,60,229,33.7,muscle_gain,healthy
1418,48,20,265,27.7,maintenance,unhealthy
1120,110,85,146,29.1,maintenance,unhealthy
1555,102,90,240,22.6,maintenance,unhealthy
369,64,75,211,29.4,weight_loss,unhealthy
720,13,14,75,24.9,weight_loss,excellent
1686,134,97,47,32.4,muscle_gain,excellent
239,60,40,164,24.1,maintenance,healthy
1760,162,28,114,25.4,weight_loss,unhealthy
1618,26,68,264,24.8,maintenance,unhealthy
1154,85,60,25,31.6,weight_loss,unhealthy
1183,104,82,88,34.2,maintenance,unhealthy
1174,17,82,22,22.9,weight_loss,unhealthy
237,75,93,111,25.6,muscle_gain,healthy
1474,20,26,161,29.7,muscle_gain,unbalanced
1399,49,56,187,33.1,muscle_gain,excellent
1825,69,54,96,25.9,maintenance,unhealthy
1113,143,51,97,19.0,muscle_gain,excellent
653,74,27,38,23.6,muscle_gain,excellent
236,152,94,109,26.9,weight_loss,unhealthy
1911,103,95,124,24.5,weight_loss,unhealthy
995,105,80,219,20.4,weight_loss,unhealthy
1172,109,87,83,17.7,muscle_gain,excellent
792,144,23,144,29.4,weight_loss,balanced
1337,98,56,278,34.9,weight_loss,unhealthy
1524,46,38,87,33.5,muscle_gain,excellent
2471,87,33,134,29.3,weight_loss,unhealthy
517,137,65,47,32.1,maintenance,balanced
2362,109,89,278,21.6,weight_loss,unhealthy
1546,159,39,115,28.2,maintenance,unhealthy
1791,32,9,53,18.1,weight_loss,unhealthy
2089,30,80,234,29.7,weight_loss,unhealthy
2287,120,11,251,34.5,maintenance,unhealthy
2196,53,45,162,32.5,muscle_gain,excellent
1972,153,6,33,26.6,maintenance,unhealthy
1512,5,93,133,31.2,muscle_gain,unbalanced
1485,96,14,294,34.0,weight_loss,unhealthy
415,62,48,270,20.9,muscle_gain,excellent
2339,83,74,155,31.3,muscle_gain,excellent
1904,85,95,200,21.9,maintenance,unhealthy
562,30,39,174,32.8,muscle_gain,healthy
1916,157,66,80,18.8,muscle_gain,excellent
1393,81,78,210,20.2,maintenance,unhealthy
555,165,77,21,30.0,muscle_gain,excellent
390,76,24,61,20.1,muscle_gain,healthy
899,73,39,265,19.8,maintenance,balanced
2254,10,41,18,27.0,maintenance,unhealthy
2380,27,76,149,32.0,maintenance,unhealthy
756,162,58,109,21.8,muscle_gain,excellent
1025,58,99,146,32.1,weight_loss,unhealthy
1254,91,84,31,31.5,maintenance,unhealthy
625,15,32,154,27.4,maintenance,balanced
1774,163,74,170,28.6,muscle_gain,excellent
2329,138,36,258,17.7,weight_loss,unhealthy
788,15,96,184,23.6,weight_loss,unhealthy
2212,81,15,97,21.7,muscle_gain,excellent
1747,16,46,42,19.7,maintenance,unhealthy
494,57,27,280,24.0,muscle_gain,excellent
2185,103,34,292,23.4,weight_loss,unhealthy
1447,40,13,235,30.1,maintenance,unhealthy
1748,149,96,121,27.8,weight_loss,unhealthy
1890,32,92,91,33.4,weight_loss,unhealthy
1336,154,63,222,19.6,weight_loss,unhealthy
1456,106,32,17,18.1,weight_loss,unhealthy
2264,11,92,143,26.6,maintenance,unhealthy
559,19,83,127,17.0,maintenance,balanced
899,143,37,93,31.2,maintenance,balanced
647,28,51,267,26.1,muscle_gain,healthy
874,34,26,252,25.8,maintenance,balanced
1207,70,33,246,23.5,weight_loss,unhealthy
1549,65,38,159,23.7,weight_loss,unhealthy
785,82,46,30,24.8,maintenance,balanced
1456,45,56,143,17.3,maintenance,unhealthy
1447,86,51,105,18.5,muscle_gain,excellent
1193,55,78,22,26.1,maintenance,unhealthy
1635,176,55,10,19.7,muscle_gain,excellent
771,99,49,159,31.0,maintenance,balanced
1445,17,98,126,21.9,muscle_gain,unbalanced
2284,94,79,161,18.8,maintenance,unhealthy
1188,144,38,73,21.2,maintenance,unhealthy
477,86,25,159,23.4,maintenance,healthy
1419,13,17,21,17.6,muscle_gain,unbalanced
2087,52,58,99,19.6,weight_loss,unhealthy
683,53,29,92,22.8,muscle_gain,excellent
1465,57,25,259,22.6,maintenance,unhealthy
930,44,5,42,31.4,weight_loss,balanced
2439,111,62,158,32.2,muscle_gain,excellent
1240,28,73,137,20.5,muscle_gain,healthy
1117,112,90,109,19.2,weight_loss,unhealthy
1085,37,75,221,28.4,maintenance,unhealthy
221,27,17,83,31.5,weight_loss,excellent
673,81,56,105,34.3,maintenance,balanced
2457,58,27,101,17.1,weight_loss,unhealthy
903,57,25,184,24.4,muscle_gain,excellent
886,53,10,234,30.2,muscle_gain,excellent
484,82,24,184,31.9,muscle_gain,excellent
915,84,80,65,18.1,maintenance,balanced
962,106,44,278,29.3,maintenance,balanced
1450,126,13,44,22.2,weight_loss,unhealthy
1147,107,54,128,18.3,maintenance,unhealthy
1230,94,32,65,25.8,maintenance,unhealthy
228,94,15,114,19.8,weight_loss,excellent
1106,164,79,185,30.3,maintenance,unhealthy
2326,125,92,115,30.3,weight_loss,unhealthy
769,153,60,89,32.2,maintenance,balanced
2206,150,83,172,23.8,maintenance,unhealthy
1653,64,39,276,17.2,muscle_gain,excellent
937,126,85,60,21.7,maintenance,balanced
715,145,29,288,25.4,weight_loss,balanced
2200,156,23,84,29.5,weight_loss,unhealthy
238,34,35,136,23.9,muscle_gain,healthy
1086,134,85,255,26.6,weight_loss,unhealthy
2404,87,54,243,26.4,muscle_gain,excellent
1298,115,91,164,20.0,maintenance,unhealthy
2023,112,67,82,28.2,muscle_gain,excellent
1910,115,51,146,24.9,maintenance,unhealthy
1173,29,5,283,31.5,weight_loss,unhealthy
1762,54,62,53,29.4,muscle_gain,excellent
1188,18,14,256,19.0,weight_loss,unhealthy
220,138,12,158,25.8,weight_loss,excellent
1068,80,30,65,29.6,weight_loss,balanced
283,88,38,185,18.6,weight_loss,balanced
1882,91,23,266,31.3,weight_loss,unhealthy
2176,162,82,72,21.0,muscle_gain,excellent
1610,34,76,72,26.1,weight_loss,unhealthy
1730,170,5,38,33.9,muscle_gain,excellent
769,62,52,49,27.3,muscle_gain,excellent
1133,98,29,156,24.6,muscle_gain,excellent
2180,45,28,97,17.1,weight_loss,unhealthy
2055,98,51,65,19.4,weight_loss,unhealthy
992,61,88,202,27.4,muscle_gain,excellent
991,168,98,109,25.9,weight_loss,unhealthy
2009,68,73,224,23.5,muscle_gain,excellent
1494,102,71,150,33.6,weight_loss,unhealthy
2455,20,36,58,23.0,weight_loss,unhealthy
1807,92,21,124,26.7,muscle_gain,excellent
1283,82,65,238,27.2,weight_loss,unhealthy
1184,94,73,261,26.5,muscle_gain,excellent
1880,76,15,84,25.6,muscle_gain,excellent
719,18,42,200,23.1,weight_loss,unhealthy
790,35,72,208,33.4,weight_loss,unhealthy
1250,70,23,172,25.1,muscle_gain,excellent
1909,116,91,148,26.5,muscle_gain,excellent
2235,72,21,58,28.8,muscle_gain,excellent
2446,59,17,124,18.2,maintenance,unhealthy
548,127,95,177,31.1,weight_loss,unhealthy
1159,172,5,286,26.2,maintenance,unhealthy
2163,157,6,56,28.8,muscle_gain,excellent
892,29,86,268,30.9,maintenance,balanced
1759,135,70,225,32.7,muscle_gain,excellent
577,73,72,239,24.1,maintenance,healthy
726,106,20,136,31.6,maintenance,balanced
2453,122,8,234,21.7,weight_loss,unhealthy
1459,30,61,159,28.9,weight_loss,unhealthy
2075,44,77,296,18.8,maintenance,unhealthy
1963,42,89,55,17.4,muscle_gain,excellent
720,170,27,23,18.7,weight_loss,balanced
1901,11,6,130,22.7,maintenance,unhealthy
1216,162,71,200,17.6,muscle_gain,excellent
1213,124,91,175,28.3,weight_loss,unhealthy
316,151,30,126,22.7,maintenance,healthy
1567,39,11,133,30.3,muscle_gain,excellent
783,165,48,63,17.8,muscle_gain,excellent
594,165,37,280,20.9,maintenance,healthy
1287,82,68,208,24.3,muscle_gain,excellent
271,42,40,225,23.9,maintenance,healthy
473,142,8,122,19.4,muscle_gain,excellent
2213,32,27,25,34.9,maintenance,unhealthy
1543,104,29,225,22.1,weight_loss,unhealthy
537,42,94,144,30.0,muscle_gain,excellent
1589,148,96,52,21.0,maintenance,unhealthy
806,128,96,261,32.8,maintenance,balanced
365,153,89,293,24.0,muscle_gain,healthy
1767,96,78,107,33.2,weight_loss,unhealthy
2258,101,31,69,23.2,maintenance,unhealthy
1524,10,55,239,17.2,weight_loss,unhealthy
928,173,83,140,26.3,muscle_gain,excellent
2243,131,85,168,26.4,weight_loss,unhealthy
301,19,73,93,19.2,muscle_gain,unbalanced
1615,112,84,217,21.2,maintenance,unhealthy
978,135,27,183,31.1,weight_loss,balanced
413,47,13,297,17.7,muscle_gain,excellent
1311,51,37,90,25.8,maintenance,unhealthy
1776,103,39,27,26.5,weight_loss,unhealthy
1895,18,54,205,29.4,muscle_gain,unbalanced
791,161,28,288,17.7,weight_loss,balanced
1533,136,92,263,27.5,maintenance,unhealthy
1309,158,28,151,17.1,maintenance,unhealthy
2339,119,23,174,21.8,muscle_gain,excellent
913,144,43,14,26.0,weight_loss,unhealthy
1135,6,65,260,33.4,weight_loss,unhealthy
2151,149,29,159,19.3,maintenance,unhealthy
441,39,99,37,20.0,weight_loss,unhealthy
2243,14,29,246,29.0,weight_loss,unhealthy
201,116,31,141,23.7,weight_loss,balanced
2472,175,36,294,28.2,muscle_gain,excellent
1968,25,15,172,35.0,maintenance,unhealthy
2149,19,73,236,34.8,muscle_gain,unbalanced
2363,167,37,139,23.4,maintenance,unhealthy
1117,116,23,67,26.1,muscle_gain,excellent
2441,130,20,155,33.3,muscle_gain,excellent
289,89,15,131,18.7,muscle_gain,healthy
1909,89,79,201,25.1,weight_loss,unhealthy
2369,176,78,254,23.8,maintenance,unhealthy
342,9,73,112,22.3,muscle_gain,unbalanced
305,121,91,259,34.9,weight_loss,unhealthy
1086,150,59,31,30.2,muscle_gain,excellent
627,153,29,69,24.0,weight_loss,balanced
1528,76,97,247,31.9,muscle_gain,excellent
2095,78,81,143,25.8,maintenance,unhealthy
2194,55,38,271,32.7,maintenance,unhealthy
516,173,16,51,21.8,muscle_gain,excellent
2186,28,92,83,21.0,muscle_gain,healthy
834,156,25,31,21.5,muscle_gain,excellent
2125,42,33,229,26.7,muscle_gain,excellent
2256,48,55,88,22.2,weight_loss,unhealthy
2470,166,27,244,19.6,maintenance,unhealthy
1639,79,37,166,34.9,weight_loss,unhealthy
752,99,12,123,33.2,maintenance,balanced
915,27,46,299,28.4,muscle_gain,healthy
1487,128,81,105,33.0,maintenance,unhealthy
1913,90,73,139,33.8,muscle_gain,excellent
2083,47,45,118,29.2,muscle_gain,excellent
1307,44,78,84,26.3,weight_loss,unhealthy
1541,51,67,284,32.9,maintenance,unhealthy
310,173,18,29,27.2,weight_loss,excellent
450,179,92,170,19.3,weight_loss,unhealthy
2254,24,66,218,23.6,weight_loss,unhealthy
658,113,79,103,25.0,weight_loss,unhealthy
1307,72,50,91,33.8,maintenance,unhealthy
407,28,71,113,28.9,maintenance,balanced
1099,40,97,246,32.8,weight_loss,unhealthy
221,49,57,269,30.6,maintenance,balanced
609,134,56,169,22.6,muscle_gain,excellent
1094,32,98,70,29.9,maintenance,unhealthy
714,158,11,47,20.5,weight_loss,excellent
1008,27,85,127,24.3,muscle_gain,healthy
1073,168,88,177,31.5,muscle_gain,excellent
213,95,58,78,28.0,muscle_gain,healthy
1170,138,15,92,31.9,muscle_gain,excellent
2334,167,29,244,21.6,muscle_gain,excellent
1760,107,63,51,30.5,weight_loss,unhealthy
1524,42,92,108,20.6,weight_loss,unhealthy
1466,167,70,139,26.8,muscle_gain,excellent
2369,98,31,37,24.8,weight_loss,unhealthy
949,57,87,242,27.0,maintenance,balanced
884,42,62,238,19.4,weight_loss,unhealthy
2127,47,97,126,23.5,maintenance,unhealthy
894,107,15,116,29.0,weight_loss,balanced
506,118,59,169,27.1,maintenance,balanced
2189,8,23,13,26.9,maintenance,unhealthy
861,9,96,158,26.2,muscle_gain,unbalanced
748,72,43,243,34.0,weight_loss,unhealthy
511,127,89,263,33.8,muscle_gain,excellent
1282,177,94,257,23.5,maintenance,unhealthy
1937,84,90,79,23.3,weight_loss,unhealthy
954,157,74,212,27.0,weight_loss,unhealthy
234,15,15,157,18.7,muscle_gain,unbalanced
644,161,18,230,22.5,weight_loss,excellent
2340,166,64,195,21.2,weight_loss,unhealthy
2182,146,40,57,21.0,weight_loss,unhealthy
1430,124,45,272,28.5,maintenance,unhealthy
552,156,6,181,23.9,muscle_gain,excellent
1102,171,61,40,20.1,maintenance,unhealthy
1555,30,64,179,33.0,muscle_gain,healthy
1948,175,24,53,32.7,maintenance,unhealthy
358,40,26,52,32.5,maintenance,balanced
2177,171,8,143,24.0,maintenance,unhealthy
1156,148,60,228,18.0,maintenance,unhealthy
2271,126,97,95,18.9,muscle_gain,excellent
603,63,62,260,22.0,weight_loss,unhealthy
715,100,92,274,21.0,muscle_gain,excellent
1587,10,69,20,32.7,weight_loss,unhealthy
1155,102,92,89,34.8,muscle_gain,excellent
2399,60,62,118,31.7,muscle_gain,excellent
1912,140,34,127,30.1,muscle_gain,excellent
807,98,80,261,27.6,muscle_gain,excellent
1473,31,23,27,30.9,maintenance,unhealthy
1735,159,66,265,34.0,muscle_gain,excellent
1641,124,72,254,27.8,muscle_gain,excellent
1997,178,83,162,19.8,weight_loss,unhealthy
494,173,88,106,19.9,maintenance,healthy
954,29,48,195,27.5,maintenance,balanced
1594,90,88,39,23.0,muscle_gain,excellent
385,150,65,124,33.4,muscle_gain,healthy
1469,16,25,250,28.0,maintenance,unhealthy
836,91,14,266,29.2,maintenance,balanced
1491,113,34,122,17.1,muscle_gain,excellent
729,171,28,38,26.0,muscle_gain,excellent
2268,93,52,235,24.8,muscle_gain,excellent
993,14,59,253,29.7,weight_loss,unhealthy
2347,78,56,28,23.9,maintenance,unhealthy
677,81,42,121,34.6,weight_loss,unhealthy
1822,58,71,221,29.1,maintenance,unhealthy
1139,161,97,242,28.9,maintenance,unhealthy
725,106,12,168,33.5,maintenance,balanced
201,173,33,69,34.9,maintenance,balanced
574,141,14,102,20.6,maintenance,healthy
752,169,73,257,31.6,muscle_gain,excellent
1725,146,79,167,19.9,weight_loss,unhealthy
2051,105,72,150,25.2,weight_loss,unhealthy
580,77,53,229,18.8,maintenance,healthy
1846,76,62,98,28.2,weight_loss,unhealthy
213,171,39,164,25.4,weight_loss,balanced
703,172,54,242,28.3,muscle_gain,excellent
2478,58,44,202,29.2,maintenance,unhealthy
2208,7,16,108,28.1,muscle_gain,unbalanced
329,115,89,122,22.3,weight_loss,unhealthy
1037,165,20,116,32.1,maintenance,unhealthy
2240,100,82,33,26.9,maintenance,unhealthy
227,75,89,290,25.8,maintenance,balanced
2313,23,52,213,34.8,maintenance,unhealthy
1452,38,95,20,22.1,maintenance,unhealthy
460,54,5,214,26.5,maintenance,balanced
2246,179,69,34,29.3,muscle_gain,excellent
1672,50,26,149,19.3,muscle_gain,excellent
1647,87,19,132,23.4,weight_loss,unhealthy
659,55,88,20,31.4,maintenance,balanced
500,58,71,275,21.3,maintenance,healthy
829,94,18,90,25.9,muscle_gain,excellent
469,85,77,118,28.4,weight_loss,unhealthy
2193,122,23,217,29.1,weight_loss,unhealthy
1828,160,44,253,30.1,maintenance,unhealthy
2001,23,8,285,32.6,weight_loss,unhealthy
1061,31,37,270,24.1,weight_loss,balanced
1480,151,47,72,29.7,maintenance,unhealthy
2380,11,41,193,30.2,maintenance,unhealthy
1999,161,70,41,22.4,maintenance,unhealthy
1906,175,31,292,34.4,muscle_gain,excellent
775,73,49,16,32.6,maintenance,balanced
2203,98,85,183,22.2,weight_loss,unhealthy
1507,117,54,155,29.2,muscle_gain,excellent
2156,111,99,261,29.9,weight_loss,unhealthy
2220,124,67,175,24.8,muscle_gain,excellent
2412,140,10,112,32.5,maintenance,unhealthy
1855,174,99,202,29.4,weight_loss,unhealthy
1779,46,71,26,28.8,muscle_gain,excellent
2047,17,71,99,21.0,weight_loss,unhealthy
2403,158,63,95,24.3,maintenance,unhealthy
1590,22,17,112,24.8,muscle_gain,healthy
1942,46,25,91,30.2,weight_loss,unhealthy
2125,55,68,135,28.1,muscle_gain,excellent
819,117,41,47,18.5,maintenance,balanced
1474,148,84,222,22.5,muscle_gain,excellent
1156,105,89,234,25.5,muscle_gain,excellent
2139,7,52,231,30.3,weight_loss,unhealthy
1168,83,60,256,30.4,muscle_gain,excellent
1516,102,48,145,25.8,maintenance,unhealthy
1243,177,17,295,19.1,weight_loss,unhealthy
481,154,8,240,22.3,muscle_gain,excellent
2366,27,99,18,21.6,maintenance,unhealthy
1258,63,77,234,31.1,maintenance,unhealthy
397,117,37,116,20.2,muscle_gain,healthy
1282,72,41,196,25.4,muscle_gain,excellent
1384,58,57,230,29.1,weight_loss,unhealthy
1208,61,28,104,34.4,maintenance,unhealthy
1429,155,93,204,35.0,maintenance,unhealthy
1235,115,55,251,34.2,maintenance,unhealthy
689,64,45,239,29.9,muscle_gain,excellent
475,77,33,14,30.4,muscle_gain,excellent
2489,59,63,13,30.7,muscle_gain,excellent
1439,121,44,273,32.5,weight_loss,unhealthy
1474,67,55,262,34.1,maintenance,unhealthy
325,59,54,172,25.0,maintenance,healthy
416,29,40,150,24.5,muscle_gain,healthy
1408,30,83,28,25.3,weight_loss,unhealthy
1446,67,64,91,28.9,weight_loss,unhealthy
1118,177,22,13,31.0,weight_loss,unhealthy
1517,77,24,137,32.7,weight_loss,unhealthy
2398,83,9,196,25.2,weight_loss,unhealthy
1861,171,22,155,23.5,muscle_gain,excellent
507,69,44,161,34.7,muscle_gain,excellent
1559,73,5,102,21.2,muscle_gain,excellent
2169,13,23,40,21.0,maintenance,unhealthy
1091,160,91,37,29.9,weight_loss,unhealthy
574,177,30,146,20.2,weight_loss,balanced
2233,30,33,99,24.2,maintenance,unhealthy
1564,32,63,58,22.3,weight_loss,unhealthy
328,44,67,267,20.0,weight_loss,unhealthy
1214,147,87,15,27.4,weight_loss,unhealthy
1999,138,66,38,23.7,weight_loss,unhealthy
1581,31,52,165,25.3,weight_loss,unhealthy
716,42,66,272,20.5,muscle_gain,excellent
1718,89,22,43,30.8,weight_loss,unhealthy
285,68,70,246,22.7,muscle_gain,healthy
1398,34,31,147,23.2,muscle_gain,excellent
1342,103,10,66,21.5,muscle_gain,excellent
2193,135,74,184,24.8,muscle_gain,excellent
2361,16,63,223,25.3,maintenance,unhealthy
502,95,10,36,26.5,muscle_gain,excellent
787,34,35,128,34.4,maintenance,balanced
1186,42,98,156,33.3,maintenance,unhealthy
2063,89,60,274,28.0,muscle_gain,excellent
544,64,58,267,17.7,weight_loss,unhealthy
1013,42,89,198,28.0,weight_loss,unhealthy
2187,108,45,240,18.6,muscle_gain,excellent
1510,147,22,207,29.8,muscle_gain,excellent
2199,150,91,248,24.0,maintenance,unhealthy
1877,33,27,79,32.1,maintenance,unhealthy
1527,116,96,261,34.0,weight_loss,unhealthy
1292,25,40,202,24.5,maintenance,unhealthy
1209,149,29,34,25.3,maintenance,unhealthy
903,150,11,79,27.6,muscle_gain,excellent
774,123,86,165,20.5,maintenance,balanced
1808,169,24,155,33.7,maintenance,unhealthy
1312,64,9,228,24.8,maintenance,unhealthy
887,170,22,58,20.0,weight_loss,balanced
688,144,37,203,30.7,muscle_gain,excellent
1547,117,83,49,20.9,weight_loss,unhealthy
693,133,39,94,19.6,muscle_gain,excellent
1867,62,69,13,27.1,muscle_gain,excellent
1837,7,67,299,29.1,maintenance,unhealthy
218,153,89,256,27.3,weight_loss,unhealthy
1200,27,76,14,28.8,weight_loss,unhealthy
1050,141,75,235,19.1,maintenance,unhealthy
1588,87,45,159,25.6,weight_loss,unhealthy
1554,59,54,247,23.4,muscle_gain,excellent
1567,114,34,157,34.5,muscle_gain,excellent
1021,120,42,112,17.9,muscle_gain,excellent
654,151,39,184,22.4,maintenance,balanced
1824,66,70,245,34.0,weight_loss,unhealthy
910,91,50,43,34.7,muscle_gain,excellent
2390,171,12,181,31.8,maintenance,unhealthy
1116,104,72,15,18.4,muscle_gain,excellent
1696,31,41,294,27.1,muscle_gain,excellent
1640,178,89,234,24.2,weight_loss,unhealthy
504,38,17,62,31.5,maintenance,balanced
935,37,77,266,18.0,muscle_gain,excellent
2163,96,49,68,20.5,muscle_gain,excellent
2349,100,33,255,25.8,maintenance,unhealthy
2209,152,45,16,19.8,maintenance,unhealthy
1161,172,60,223,29.5,weight_loss,unhealthy
1226,99,92,87,31.8,muscle_gain,excellent
2332,163,20,198,29.7,weight_loss,unhealthy
1673,42,16,225,24.9,muscle_gain,excellent
2147,177,70,292,32.8,weight_loss,unhealthy
1377,45,66,70,19.5,muscle_gain,excellent
864,141,23,70,21.7,maintenance,balanced
211,141,34,224,25.8,weight_loss,balanced
1356,83,20,54,18.1,maintenance,unhealthy
503,132,92,181,18.7,muscle_gain,excellent
1963,26,17,230,24.2,maintenance,unhealthy
242,20,73,104,34.0,weight_loss,unhealthy
1143,36,27,53,33.4,weight_loss,unhealthy
1549,146,66,237,25.4,maintenance,unhealthy
1090,42,35,71,19.6,muscle_gain,excellent
1204,102,57,228,20.2,weight_loss,unhealthy
220,140,21,98,23.8,muscle_gain,healthy
606,25,53,121,20.8,weight_loss,unhealthy
1214,60,53,216,18.5,muscle_gain,excellent
535,50,71,212,29.1,muscle_gain,excellent
2038,47,30,42,27.5,maintenance,unhealthy
1347,124,17,224,22.2,muscle_gain,excellent
2027,50,42,21,31.0,weight_loss,unhealthy
914,52,26,11,31.0,maintenance,balanced
250,88,89,158,25.8,weight_loss,unhealthy
523,35,33,151,18.7,maintenance,healthy
988,165,49,299,33.5,maintenance,balanced
340,176,50,216,29.0,muscle_gain,healthy
669,75,43,201,21.4,muscle_gain,excellent
986,12,73,261,28.0,weight_loss,unhealthy
